因子名称,IC均值_P1,Rank_IC均值_P1,ICIR_P1,Group1平均收益_P1,Group2平均收益_P1,Group3平均收益_P1,Group4平均收益_P1,Group5平均收益_P1,多空收益_P1,Sharpe_Ratio_P1,最大回撤_P1,累积收益率_P1,IC均值_P2,Rank_IC均值_P2,ICIR_P2,Group1平均收益_P2,Group2平均收益_P2,Group3平均收益_P2,Group4平均收益_P2,Group5平均收益_P2,多空收益_P2,Sharpe_Ratio_P2,最大回撤_P2,累积收益率_P2
momentum_ppo_3_6_2,-0.0440919736869863,-0.0566260418085037,-0.1488561634657907,0.0001755524278994,7.482162082339502e-05,-1.3796037336399566e-05,-6.095807925301252e-05,-0.0001103492555923,0.0002859016834917,30.972484836614143,-0.4704491038631381,1726.385783086136,-0.0371742902229819,-0.0483242962508674,-0.1190123979244743,0.000322099490816,0.0001686533806682,0.0001539323308683,0.0001176041940821,9.166721254152443e-05,0.0002304322782745,15.037239044781362,-0.6938159389575231,322.4859768339414
momentum_roc_1,-0.05735899869374,-0.0648094327301449,-0.2093979938522812,0.000247448315035,7.977507529901564e-05,1.1552749051362985e-05,-7.641809569416021e-05,-0.0001944992768295,0.0004419475918645,50.63319146300749,-0.1455942724944048,108894.3294899802,-0.0298771459810409,-0.0364913209361421,-0.1033788250026807,0.00030883321256,0.0002095399840819,0.0001673139334397,0.0001142071484102,5.987434160152102e-05,0.0002489588709585,17.59006070326264,-0.3542482311378591,552.8077903292103
momentum_roc_12,-0.0348695061111337,-0.0453200739290137,-0.1163184070558931,0.0001459998437498,3.665227082760399e-05,1.1050959007187604e-05,-4.174121682078027e-05,-7.399791789742128e-05,0.0002199977616472,23.78132619443778,-0.4860627976298839,300.4670645491881,-0.0337761712359037,-0.0455576369463308,-0.1076416190475952,0.0003112471997379,0.0001629719353852,0.0001314591779472,0.0001177468392423,0.0001247371231305,0.0001865100766073,12.166506143538893,-0.7554464871775561,100.55022116797022
momentum_roc_144,-0.015385675789659,-0.0225273054256417,-0.0531253837918392,4.84304803051678e-05,2.1685802752536455e-05,4.72492600939242e-06,-1.2911310595202534e-05,8.979475525819923e-06,3.94510047793479e-05,4.295806787283582,-0.6381903096865161,2.515630889867165,-0.0111896995282072,-0.0262757852617481,-0.0362507278565048,0.0001974602171772,0.0001603703907969,0.0001166633416728,0.0001365191766741,0.0002483161052913,-5.085588811414829e-05,-3.382915189133478,-0.9738463793047732,0.1914374092152033
momentum_roc_2,-0.0541885303970051,-0.0630008311685107,-0.1921229917109975,0.0002255325084988,7.423612408078579e-05,1.2785111239260764e-05,-5.94048263200423e-05,-0.0001829423388036,0.0004084748473024,45.60729940293228,-0.2733400380881743,44615.27762583397,-0.0349582267967871,-0.0420686820393174,-0.1181236013967938,0.0003410271987171,0.0002087990047005,0.0001543835431479,0.000139025970806,1.7554685141448023e-05,0.0003234725135757,22.239316177077317,-0.3546870088515237,3913.979890434517
momentum_roc_3,-0.049927114131415,-0.0591119191436538,-0.1748662759429077,0.0002034739344018,7.737019077636748e-05,1.5703939900043346e-05,-6.500314122698243e-05,-0.0001603821155667,0.0003638560499685,40.667205840936795,-0.2958113768389372,13687.913820025957,-0.0348786404934755,-0.0434954113400113,-0.116021475168886,0.0003322512085287,0.0002110924427864,0.0001604821687884,0.0001171606083811,3.8266172891467774e-05,0.0002939850356372,19.814274793059585,-0.4646341616458167,1770.6032096147917
momentum_roc_6,-0.0397445830384234,-0.0507016876935353,-0.1357056568344442,0.0001572942973237,5.9744654980943494e-05,1.5487391329977836e-06,-4.5615030710918125e-05,-0.0001016891967997,0.0002589834941235,28.249415579595368,-0.4647739855348024,846.404420226082,-0.0324446136079234,-0.0430730439537091,-0.1049477524064941,0.0002972228022042,0.0001823359905529,0.0001364995435432,0.0001356085994687,0.0001034132733717,0.0001938095288325,12.762154835234506,-0.7149726021127909,122.8336600450852
momentum_short_accel_revert_6_24,-0.0272708887220401,-0.0336360299452605,-0.1284312745807963,0.0001396371402491,5.677020770098923e-05,4.569319231326253e-06,-3.476529919764445e-05,-9.9004191739748e-05,0.0002386413319888,32.38530042562528,-0.1847430602676164,511.3259573891265,-0.0136683875526811,-0.017390251208702,-0.0589732491361151,0.0002573478628938,0.0001819996500522,0.0001609894558156,0.0001482154407815,0.0001012046261304,0.0001561432367634,12.52602406019638,-0.7499842414101426,50.108483798922926
momentum_streak_intensity_3_24_48,0.0154972978886764,0.0236642447075562,0.0728015726202741,-5.02975086643512e-05,-2.2408276975818243e-05,1.7402564477028542e-05,5.2125772984113065e-05,7.826137244475965e-05,0.0001285588811091,17.846340688120282,-0.3532169439879701,27.524456976873186,0.0188662461597207,0.019357926281097,0.0837107759621427,0.0001222504732094,0.0001269873379218,0.0001411053563912,0.0001862221105432,0.0002888187765893,0.0001665683033799,13.982008589587654,-0.5821801282364647,66.12519567287944
momentum_tsi_300_156,0.001759417313195,-0.0074121510856526,0.007593939477287,9.693278190697033e-06,1.311730280633891e-06,1.103609754954726e-05,-1.8449880147918975e-06,4.706895739356812e-05,3.737567920287109e-05,4.823351920145522,-0.5269172261681567,2.4755054764688116,0.0017262612772118,-0.0120116902552243,0.0066495980666196,0.0001254281037404,0.0001719652158234,0.0001617834458785,0.0001257622064073,0.0002708978551341,0.0001454697513937,10.353916879637772,-0.7633343226677841,35.83176900986651
momentum_tsi_600_300,0.0020028159464682,-0.0078240125840896,0.0086870788924743,-1.1745847879303682e-05,3.3177302667611213e-05,3.15583630574354e-05,-3.453173534981656e-06,2.407588763572761e-05,3.582173551503128e-05,4.680799984588771,-0.5076903476859957,2.3805713133243978,0.0039039018606705,-0.0094424624305585,0.0151487637001814,0.0001254639396106,0.0001989143718267,0.0001366476613767,0.0001431508272164,0.0002540602759921,0.0001285963363815,9.042570348075875,-0.7829300548744436,22.760052716533185
